##Ensembl file: C:\Users\ahsturm1\Desktop\Data\NGS\Ensembl\Homo_sapiens.GRCh38.112.gff3
##RefSeq file: C:\Users\ahsturm1\Desktop\Data\NGS\RefSeq\Homo_sapiens.GRCh38.p14.gff3
#Ensembl ID	RefSeq ID
ENST00000619216	NR_106918
ENST00000509479	CCDS54805
ENST00000394205	NM_001153446
ENST00000394205	CCDS3750
ENST00000338517	NM_001153446
ENST00000338517	CCDS3750
ENST00000394203	NM_001153585
ENST00000394203	CCDS3750
ENST00000506322	NM_001153484
ENST00000506322	CCDS54806
ENST00000512749	NM_001153484
ENST00000512749	CCDS54806
ENST00000506597	NM_001153552
ENST00000506597	CCDS54807
ENST00000608372	NM_001153484
ENST00000608372	CCDS54806
ENST00000510586	NM_001153484
ENST00000510586	CCDS54806
ENST00000502535	NM_001153484
ENST00000502535	CCDS54806
ENST00000325617	NM_004362
ENST00000325617	CCDS3751
ENST00000414773	NM_001130675
ENST00000414773	CCDS3751
ENST00000511113	NM_001277353
ENST00000511113	CCDS64066
ENST00000323570	NM_153702
ENST00000323570	CCDS3752
ENST00000262999	NM_021833
ENST00000262999	CCDS3753
ENST00000442267	NM_015130
ENST00000442267	CCDS47136
ENST00000515673	NM_020724
ENST00000515673	CCDS34065
ENST00000262990	NM_014487
ENST00000262990	CCDS3754
ENST00000320650	NM_000585
ENST00000320650	CCDS3755
ENST00000296545	NM_000585
ENST00000296545	CCDS3755
ENST00000514653	NM_172175
ENST00000514653	CCDS3756
ENST00000529613	NM_000585
ENST00000529613	CCDS3755
ENST00000477265	NM_172175
ENST00000477265	CCDS3756
ENST00000394159	NM_172175
ENST00000394159	CCDS3756
ENST00000513000	NM_001101669
ENST00000513000	CCDS3757
ENST00000262992	NM_001101669
ENST00000262992	CCDS3757
ENST00000508116	NM_001101669
ENST00000508116	CCDS3757
ENST00000509777	NM_001385335
ENST00000509777	CCDS82958
ENST00000511838	NM_001385459
ENST00000510377	NM_001290325
ENST00000510377	CCDS77964
ENST00000307017	NM_032557
ENST00000307017	CCDS3758
ENST00000682469	NM_001410848
ENST00000682469	CCDS93639
ENST00000262994	NM_002039
ENST00000262994	CCDS3759
ENST00000262995	NM_207123
ENST00000262995	CCDS3760
ENST00000579145	NR_036091
ENST00000283131	NM_003601
ENST00000283131	CCDS3761
ENST00000329798	NM_001168235
ENST00000329798	CCDS54808
ENST00000358615	NM_198682
ENST00000358615	CCDS47138
ENST00000437468	NM_002102
ENST00000437468	CCDS47138
ENST00000509873	NR_125886
ENST00000502664	NM_002100
ENST00000502664	CCDS54809
ENST00000506516	NM_001304382
ENST00000506516	CCDS87264
ENST00000641688	NM_002099
ENST00000641688	CCDS34069
ENST00000360771	NM_002099
ENST00000360771	CCDS34069
ENST00000324022	NM_001308190
ENST00000324022	CCDS82959
ENST00000512064	NM_001308187
ENST00000512064	CCDS77965
ENST00000296575	NM_022475
ENST00000296575	CCDS3762
ENST00000613466	NM_001256708
ENST00000613466	CCDS43273
ENST00000507656	NM_001256706
ENST00000507656	CCDS43273
ENST00000451299	NM_001256707
ENST00000451299	CCDS43273
ENST00000309439	NM_014885
ENST00000309439	CCDS43273
ENST00000296577	NM_002940
ENST00000296577	CCDS34071
ENST00000454497	NM_001102653
ENST00000454497	CCDS47139
ENST00000447906	NM_001366057
ENST00000447906	CCDS93644
ENST00000509620	NM_017493
ENST00000509620	CCDS3764
ENST00000302085	NM_005900
ENST00000302085	CCDS3765
ENST00000394092	NM_001003688
ENST00000394092	CCDS3765
ENST00000515385	NM_001354817
ENST00000515385	CCDS3765
ENST00000649704	NM_172250
ENST00000649704	CCDS3766
ENST00000679563	NM_172250
ENST00000679563	CCDS3766
ENST00000649156	NM_172250
ENST00000649156	CCDS3766
ENST00000648388	NM_172250
ENST00000648388	CCDS3766
ENST00000541599	NM_172250
ENST00000541599	CCDS3766
ENST00000438731	NM_001080531
ENST00000438731	CCDS47140
ENST00000508784	NM_001306215
ENST00000508784	CCDS77968
ENST00000503462	NM_001410850
ENST00000503462	CCDS93645
ENST00000379448	NM_178835
ENST00000379448	CCDS34072
ENST00000656985	NM_178835
ENST00000656985	CCDS34072
ENST00000296581	NM_007080
ENST00000296581	CCDS3767
ENST00000649747	NM_007080
ENST00000649747	CCDS3767
ENST00000502781	NM_007080
ENST00000502781	CCDS3767
ENST00000636502	NM_001371071
ENST00000636502	CCDS87268
ENST00000623665	NM_001354631
ENST00000623665	CCDS87268
ENST00000432059	NM_001317816
ENST00000432059	CCDS82963
ENST00000335472	NM_001029998
ENST00000335472	CCDS34073
ENST00000507030	NM_001300842
ENST00000507030	CCDS75198
ENST00000619235	NR_107003
ENST00000394059	NM_032128
ENST00000394059	CCDS3768
ENST00000511374	NM_001317817
ENST00000511374	CCDS82962
ENST00000502607	NM_001317818
ENST00000502607	CCDS82964
ENST00000281321	NM_004575
ENST00000281321	CCDS34074
ENST00000325106	NM_031956
ENST00000325106	CCDS47141
ENST00000513335	NM_001300761
ENST00000513335	CCDS75200
ENST00000504425	NM_001317806
ENST00000504425	CCDS82965
ENST00000408442	NR_031662
ENST00000324300	NM_001957
ENST00000324300	CCDS3769
ENST00000358556	NM_001166055
ENST00000358556	CCDS54810
ENST00000651419	NM_001957
ENST00000651419	CCDS3769
ENST00000506066	NM_001166055
ENST00000506066	CCDS54810
ENST00000296582	NM_018241
ENST00000296582	CCDS3770
ENST00000322396	NM_138364
ENST00000322396	CCDS3771
ENST00000336498	NM_024605
ENST00000336498	CCDS34075
ENST00000578951	NR_039962
ENST00000344721	NM_000901
ENST00000344721	CCDS3772
ENST00000358102	NM_000901
ENST00000358102	CCDS3772
ENST00000512865	NM_001166104
ENST00000512865	CCDS54811
ENST00000503100	NR_125887
ENST00000636793	NM_001363507
ENST00000636793	CCDS87270
ENST00000636414	NM_001363509
ENST00000636414	CCDS87271
ENST00000296550	NM_001040260
ENST00000296550	CCDS34076
ENST00000506325	NM_001410852
ENST00000506325	CCDS93647
ENST00000302176	NM_001040261
ENST00000302176	CCDS47142
ENST00000651943	NM_001364905
ENST00000651943	CCDS93649
ENST00000357115	NM_006726
ENST00000357115	CCDS3773
ENST00000510413	NM_001199282
ENST00000510413	CCDS58928
ENST00000651695	NM_001367550
ENST00000651695	CCDS93650
ENST00000317605	NM_006439
ENST00000317605	CCDS3774
ENST00000274065	NM_001006
ENST00000274065	CCDS3775
ENST00000386062	NR_000007
ENST00000409598	NM_001128923
ENST00000409598	CCDS47144
ENST00000604030	NM_001378122
ENST00000604030	CCDS93652
ENST00000409252	NM_001378126
ENST00000409252	CCDS34077
ENST00000514152	NM_001243349
ENST00000514152	NM_001378129
ENST00000514152	CCDS47144
ENST00000652233	NM_001378123
ENST00000652233	CCDS93651
ENST00000427414	NM_001128924
ENST00000427414	CCDS47143
ENST00000455694	NM_183375
ENST00000455694	CCDS47145
ENST00000435205	NM_001109977
ENST00000435205	CCDS47146
ENST00000505231	NM_001348694
ENST00000505231	CCDS47146
ENST00000263985	NM_004564
ENST00000263985	CCDS3776
ENST00000499452	NR_121627
ENST00000393956	NM_018315
ENST00000393956	CCDS3778
ENST00000296555	NM_001013415
ENST00000296555	CCDS34078
ENST00000603548	NM_001349798
ENST00000603548	CCDS3777
ENST00000281708	NM_001349798
ENST00000281708	CCDS3777
ENST00000603841	NM_033632
ENST00000603841	CCDS3777
ENST00000604872	NM_001257069
ENST00000604872	CCDS64082
ENST00000583685	NR_036092
ENST00000604157	NR_033797
ENST00000584019	NR_039658
ENST00000304385	NM_152680
ENST00000304385	CCDS3779
ENST00000304337	NM_145720
ENST00000304337	CCDS34079
ENST00000451320	NM_001287431
ENST00000451320	CCDS34080
ENST00000353617	NM_001025595
ENST00000353617	CCDS34080
ENST00000405727	NM_014447
ENST00000405727	CCDS3780
ENST00000356064	NM_001025593
ENST00000356064	CCDS3780
ENST00000511601	NM_001371116
ENST00000511601	CCDS34081
ENST00000676423	NM_001375517
ENST00000676423	CCDS47147
ENST00000675745	NM_001375514
ENST00000675745	CCDS47147
ENST00000676348	NM_001375513
ENST00000676348	NM_001375514
ENST00000676348	CCDS47147
ENST00000676408	NM_001351056
ENST00000676408	CCDS93656
ENST00000674874	NM_001375513
ENST00000674874	CCDS47147
ENST00000675315	NM_001375517
ENST00000675315	CCDS47147
ENST00000676458	NM_001375515
ENST00000676458	CCDS47147
ENST00000675782	NM_001375525
ENST00000675782	CCDS93657
ENST00000437508	NM_001130067
ENST00000437508	CCDS47147
ENST00000674976	NM_001375512
ENST00000674976	CCDS47147
ENST00000338700	NM_015271
ENST00000338700	CCDS3781
ENST00000675293	NM_001375516
ENST00000675293	CCDS47147
ENST00000676172	NM_001375516
ENST00000676172	CCDS47147
ENST00000675384	NM_001375512
ENST00000675384	CCDS47147
ENST00000675835	NM_001375512
ENST00000675835	CCDS47147
ENST00000675054	NM_001375516
ENST00000675054	CCDS47147
ENST00000675710	NM_001375525
ENST00000675710	CCDS93657
ENST00000674876	NM_001375517
ENST00000674876	CCDS47147
ENST00000675159	NM_001375517
ENST00000675159	CCDS47147
ENST00000675899	NM_001351056
ENST00000675899	CCDS93656
ENST00000676167	NM_001351056
ENST00000676167	CCDS93656
ENST00000676335	NM_001375525
ENST00000676335	CCDS93657
ENST00000676374	NM_001375513
ENST00000676374	NM_001375514
ENST00000676374	NM_001130067
ENST00000676374	NM_001375515
ENST00000676374	NM_001375517
ENST00000676374	NM_001375516
ENST00000676374	CCDS47147
ENST00000674935	NM_001351054
ENST00000674935	CCDS93653
ENST00000676264	NM_001375513
ENST00000676264	NM_001375514
ENST00000676264	NM_001130067
ENST00000676264	NM_001375515
ENST00000676264	NM_001375517
ENST00000676264	NM_001375516
ENST00000676264	CCDS47147
ENST00000674726	NM_001351055
ENST00000674726	CCDS93655
ENST00000676252	NM_001375513
ENST00000676252	NM_001375514
ENST00000676252	NM_001130067
ENST00000676252	NM_001375515
ENST00000676252	NM_001375517
ENST00000676252	NM_001375516
ENST00000676252	CCDS47147
ENST00000482578	NM_001302694
ENST00000482578	CCDS93654
ENST00000622785	NM_001253861
ENST00000622785	CCDS75202
ENST00000240488	NM_032117
ENST00000240488	CCDS3782
ENST00000409663	NM_015196
ENST00000409663	CCDS3783
ENST00000409959	NM_001131007
ENST00000409959	CCDS47148
ENST00000714431	NM_001318793
ENST00000714431	CCDS3784
ENST00000646900	NM_003264
ENST00000646900	CCDS3784
ENST00000714432	NM_003264
ENST00000714432	CCDS3784
ENST00000714433	NM_001318790
ENST00000714433	CCDS3784
ENST00000260010	NM_001318787
ENST00000260010	CCDS3784
ENST00000714434	NM_001318791
ENST00000714434	CCDS3784
ENST00000646219	NM_001318787
ENST00000646219	CCDS3784
ENST00000642580	NM_001318796
ENST00000642580	CCDS3784
ENST00000714435	NM_001318796
ENST00000714435	CCDS3784
ENST00000642700	NM_001318789
ENST00000642700	CCDS3784
ENST00000643501	NM_001318787
ENST00000643501	CCDS3784
ENST00000347063	NM_173662
ENST00000347063	CCDS47149
ENST00000274063	NM_003013
ENST00000274063	CCDS34082
ENST00000357232	NM_001358235
ENST00000357232	CCDS87275
ENST00000339452	NM_001142552
ENST00000339452	CCDS47150
ENST00000499023	NM_002669
ENST00000499023	CCDS34083
ENST00000302078	NM_001201564
ENST00000302078	CCDS56341
ENST00000302068	NM_005141
ENST00000302068	CCDS3786
ENST00000651975	NM_000508
ENST00000651975	CCDS3787
ENST00000403106	NM_021871
ENST00000403106	CCDS47152
ENST00000404648	NM_000509
ENST00000404648	CCDS47153
ENST00000336098	NM_021870
ENST00000336098	CCDS3788
ENST00000507827	NM_001301645
ENST00000507827	CCDS3789
ENST00000336356	NM_004744
ENST00000336356	CCDS3789
ENST00000514866	NM_001277171
ENST00000514866	CCDS64085
ENST00000281722	NM_144979
ENST00000281722	CCDS3790
ENST00000510397	NM_001277173
ENST00000510397	CCDS64086
ENST00000329476	NM_000910
ENST00000329476	CCDS3791
ENST00000506608	NM_001370180
ENST00000506608	CCDS3791
ENST00000311277	NM_001039580
ENST00000311277	CCDS35493
ENST00000650955	NM_001039580
ENST00000650955	CCDS35493
ENST00000417474	NR_125937
ENST00000511108	NM_000856
ENST00000511108	CCDS34085
ENST00000511507	NM_001130687
ENST00000511507	CCDS54812
ENST00000506455	NM_001130682
ENST00000506455	CCDS34085
ENST00000455639	NM_001256449
ENST00000455639	CCDS34085
ENST00000296518	NM_001130682
ENST00000296518	CCDS34085
ENST00000513574	NM_001130684
ENST00000513574	CCDS34085
ENST00000505154	NM_001291955
ENST00000505154	CCDS77978
ENST00000502959	NM_001291951
ENST00000502959	CCDS77975
ENST00000264424	NM_000857
ENST00000264424	CCDS47154
ENST00000505764	NM_001291952
ENST00000505764	CCDS77977
ENST00000507146	NM_001291953
ENST00000507146	CCDS75203
ENST00000503520	NM_001291954
ENST00000503520	CCDS77976
ENST00000513437	NM_001291955
ENST00000513437	CCDS77978
ENST00000537611	NM_017419
ENST00000537611	CCDS3793
ENST00000536354	NM_005651
ENST00000536354	CCDS34086
ENST00000433477	NM_001334
ENST00000433477	CCDS3794
ENST00000502773	NM_016205
ENST00000502773	CCDS3795
ENST00000541722	NM_001166061
ENST00000541722	CCDS54813
ENST00000264428	NM_000824
ENST00000264428	CCDS3796
ENST00000509282	NM_001166060
ENST00000509282	CCDS3796
ENST00000703717	NM_001379000
ENST00000703717	CCDS93659
ENST00000507898	NM_001379001
ENST00000507898	CCDS43275
ENST00000393815	NM_001083620
ENST00000393815	CCDS43275
ENST00000264426	NM_001083619
ENST00000264426	CCDS43274
ENST00000296526	NM_000826
ENST00000296526	CCDS3797
ENST00000703765	NM_001379001
ENST00000703765	CCDS43275
ENST00000507108	NR_026992
ENST00000585682	NM_001128424
ENST00000585682	CCDS3798
ENST00000296530	NM_016613
ENST00000296530	CCDS3798
ENST00000393807	NM_001031700
ENST00000393807	CCDS34087
ENST00000503611	NR_147407
ENST00000296529	NM_018342
ENST00000296529	CCDS3799
ENST00000460056	NM_001363776
ENST00000460056	CCDS87277
ENST00000423548	NM_001253727
ENST00000423548	CCDS75204
ENST00000448688	NM_001253733
ENST00000448688	CCDS75206
ENST00000613319	NM_001253730
ENST00000613319	CCDS75205
ENST00000307765	NM_021634
ENST00000307765	CCDS43276
ENST00000343542	NM_001253729
ENST00000343542	CCDS58929
ENST00000470033	NM_001253728
ENST00000470033	CCDS58930
ENST00000379205	NM_001008393
ENST00000379205	CCDS34088
ENST00000684627	NM_001281738
ENST00000684627	CCDS93661
ENST00000511912	NM_004453
ENST00000511912	CCDS3800
ENST00000683305	NM_001281738
ENST00000683305	CCDS93661
ENST00000684036	NM_001281738
ENST00000684036	CCDS93661
ENST00000307738	NM_001281737
ENST00000307738	CCDS64090
ENST00000307720	NM_005038
ENST00000307720	CCDS3801
ENST00000264433	NM_020840
ENST00000264433	CCDS47155
ENST00000434826	NM_152543
ENST00000434826	CCDS47156
ENST00000691494	NM_001394067
ENST00000691494	CCDS93662
ENST00000583455	NR_037459
ENST00000636963	NR_039963
ENST00000264431	NM_014247
ENST00000264431	CCDS43277
ENST00000505026	NM_001351728
ENST00000505026	CCDS93663
ENST00000306100	NM_020116
ENST00000306100	CCDS3802
ENST00000379164	NM_001128427
ENST00000379164	CCDS47158
ENST00000427802	NM_001128428
ENST00000427802	CCDS47157
ENST00000638111	NR_039659
ENST00000422287	NM_001128931
ENST00000422287	CCDS47159
ENST00000274054	NM_138386
ENST00000274054	CCDS3803
ENST00000296533	NM_000909
ENST00000296533	CCDS34089
ENST00000338566	NM_006174
ENST00000338566	CCDS3804
ENST00000515560	NM_001317091
ENST00000515560	CCDS3804
ENST00000506953	NM_006174
ENST00000506953	CCDS3804
ENST00000280605	NM_032136
ENST00000280605	CCDS3805
ENST00000358572	NM_018352
ENST00000358572	CCDS43278
ENST00000274056	NM_001166373
ENST00000274056	CCDS54814
ENST00000514618	NM_001394959
ENST00000514618	CCDS93664
ENST00000503008	NM_001166373
ENST00000503008	CCDS54814
ENST00000339875	NM_017923
ENST00000339875	CCDS3806
ENST00000515485	NM_001352885
ENST00000515485	CCDS87279
ENST00000507311	NM_001352885
ENST00000507311	CCDS87279
ENST00000507152	NM_001297550
ENST00000507152	CCDS77980
ENST00000515275	NM_001297550
ENST00000515275	CCDS77980
ENST00000329314	NM_001012414
ENST00000329314	CCDS34093
ENST00000710271	NM_001414904
ENST00000508856	NM_001414904
ENST00000647760	NM_001258025
ENST00000647760	NM_152620
ENST00000647760	CCDS3808
ENST00000512596	NM_152620
ENST00000512596	CCDS3808
ENST00000508504	NM_001258025
ENST00000508504	CCDS3808
ENST00000341062	NM_001258025
ENST00000341062	CCDS3808
ENST00000503032	NM_001396070
ENST00000503032	CCDS47160
ENST00000306480	NM_001100389
ENST00000306480	CCDS43279
ENST00000226725	NM_007246
ENST00000226725	CCDS34094
ENST00000514860	NM_001161521
ENST00000514860	CCDS54815
ENST00000538127	NM_001161522
ENST00000538127	CCDS54816
ENST00000421009	NM_001331024
ENST00000421009	CCDS82974
ENST00000506761	NM_001331023
ENST00000506761	CCDS82975
ENST00000505354	NM_001395953
ENST00000505354	CCDS93665
ENST00000261507	NM_006745
ENST00000261507	CCDS3809
ENST00000393766	NM_001017369
ENST00000393766	CCDS43280
ENST00000402744	NM_001873
ENST00000402744	CCDS3810
ENST00000384828	NR_030304
ENST00000507838	NR_121676
ENST00000061240	NM_012464
ENST00000061240	CCDS3811
ENST00000513213	NM_001204760
ENST00000513213	CCDS56342
ENST00000541354	NM_001204353
ENST00000541354	CCDS56343
ENST00000357545	NM_001040159
ENST00000357545	CCDS34095
ENST00000357154	NM_016950
ENST00000357154	CCDS54817
ENST00000421836	NM_001204352
ENST00000421836	CCDS56344
ENST00000504953	NM_001040159
ENST00000504953	CCDS34095
ENST00000506886	NM_016950
ENST00000506886	CCDS54817
ENST00000535728	NM_001204354
ENST00000535728	CCDS75207
ENST00000510741	NM_001204356
ENST00000510741	CCDS56346
ENST00000512681	NM_001251967
ENST00000512681	CCDS58931
ENST00000511269	NM_001040159
ENST00000511269	CCDS34095
ENST00000512648	NM_001204358
ENST00000512648	CCDS56347
ENST00000359299	NM_007193
ENST00000359299	CCDS34096
ENST00000393743	NM_017631
ENST00000393743	CCDS34097
ENST00000680771	NM_001410861
ENST00000680771	CCDS93666
ENST00000682922	NM_001012967
ENST00000682922	CCDS47161
ENST00000505667	NM_001166108
ENST00000505667	CCDS54818
ENST00000261509	NM_016081
ENST00000261509	CCDS34098
ENST00000512127	NM_001166109
ENST00000512127	CCDS54819
ENST00000507735	NM_001166110
ENST00000507735	CCDS54820
ENST00000704822	NM_001367568
ENST00000704822	CCDS93667
ENST00000306193	NM_032783
ENST00000306193	CCDS3812
ENST00000284637	NM_020870
ENST00000284637	CCDS34099
ENST00000507142	NM_001199397
ENST00000507142	CCDS56351
ENST00000686697	NM_001374421
ENST00000686697	CCDS93668
ENST00000439128	NM_012224
ENST00000439128	CCDS47162
ENST00000511633	NM_001199398
ENST00000511633	CCDS56350
ENST00000510533	NM_001199400
ENST00000510533	CCDS56349
ENST00000512193	NM_001199399
ENST00000512193	CCDS56348
ENST00000360642	NM_001243372
ENST00000360642	CCDS58932
ENST00000347613	NM_173872
ENST00000347613	CCDS34100
ENST00000513761	NM_001829
ENST00000513761	CCDS34101
ENST00000507875	NM_001243374
ENST00000507875	CCDS75208
ENST00000393381	NM_017867
ENST00000393381	CCDS3813
ENST00000393704	NM_001009554
ENST00000393704	CCDS43281
ENST00000361618	NM_021647
ENST00000361618	CCDS34103
ENST00000337664	NM_016228
ENST00000337664	CCDS3814
ENST00000509167	NM_001286682
ENST00000509167	CCDS75209
ENST00000515480	NM_001286683
ENST00000515480	CCDS3814
ENST00000353187	NM_182662
ENST00000353187	CCDS3814
ENST00000613604	NR_106730
ENST00000508977	NR_147157
ENST00000506823	NM_001034845
ENST00000506823	CCDS34104
ENST00000505308	NM_001375599
ENST00000505308	CCDS93669
ENST00000265000	NM_017423
ENST00000265000	CCDS3815
ENST00000408369	NR_036093
ENST00000296503	NM_002129
ENST00000296503	CCDS3816
ENST00000438704	NM_002129
ENST00000438704	CCDS3816
ENST00000446922	NM_001130688
ENST00000446922	CCDS3816
ENST00000296504	NM_003864
ENST00000296504	CCDS3817
ENST00000296506	NM_007281
ENST00000296506	CCDS3818
ENST00000359562	NM_021973
ENST00000359562	CCDS3819
ENST00000393674	NM_012180
ENST00000393674	CCDS3820
ENST00000457424	NM_001145314
ENST00000457424	CCDS47163
ENST00000503780	NM_001040157
ENST00000503780	CCDS34106
ENST00000296519	NM_001040157
ENST00000296519	CCDS34106
ENST00000426172	NM_001145314
ENST00000426172	CCDS47163
ENST00000584832	NR_036236
ENST00000296522	NM_000860
ENST00000296522	CCDS3821
ENST00000541923	NM_001256301
ENST00000541923	CCDS58933
ENST00000542498	NM_001256305
ENST00000542498	CCDS58935
ENST00000296521	NM_001145816
ENST00000296521	CCDS54821
ENST00000510901	NM_001256301
ENST00000510901	CCDS58933
ENST00000422112	NM_001256306
ENST00000422112	CCDS58934
ENST00000504433	NM_001363574
ENST00000504433	CCDS87280
ENST00000274093	NM_006529
ENST00000274093	CCDS3822
ENST00000340217	NM_001042543
ENST00000340217	CCDS43283
ENST00000359240	NM_014269
ENST00000359240	CCDS3823
ENST00000445694	NM_001130703
ENST00000445694	CCDS3823
ENST00000615367	NM_001278125
ENST00000615367	CCDS3823
ENST00000618444	NM_001278127
ENST00000618444	CCDS3823
ENST00000404450	NM_001130704
ENST00000404450	CCDS3823
ENST00000514159	NM_001130705
ENST00000514159	CCDS3823
ENST00000280187	NM_201591
ENST00000280187	CCDS3824
ENST00000393658	NM_201591
ENST00000393658	CCDS3824
ENST00000506894	NM_201592
ENST00000506894	CCDS54822
ENST00000515090	NM_001261448
ENST00000515090	CCDS58936
ENST00000514864	NR_125901
ENST00000508596	NM_181265
ENST00000508596	CCDS43284
ENST00000280190	NM_170710
ENST00000280190	CCDS3825
ENST00000280191	NM_144644
ENST00000280191	CCDS3826
ENST00000296525	NM_080874
ENST00000296525	CCDS3827
ENST00000672074	NM_001410863
ENST00000672074	CCDS93672
ENST00000503362	NM_021928
ENST00000503362	CCDS54823
ENST00000618562	NM_005429
ENST00000618562	CCDS43285
ENST00000264596	NM_018248
ENST00000264596	CCDS3828
ENST00000264595	NM_000027
ENST00000264595	CCDS3829
ENST00000507870	NR_028342
ENST00000514736	NR_108093
ENST00000512487	NR_033918
ENST00000408300	NR_031640
ENST00000511685	NM_001080477
ENST00000511685	CCDS47165
ENST00000438320	NM_001921
ENST00000438320	CCDS3831
ENST00000357067	NM_001012732
ENST00000357067	CCDS34108
ENST00000510370	NM_001351750
ENST00000510370	CCDS3831
ENST00000502308	NR_003612
ENST00000403733	NM_024949
ENST00000403733	CCDS34109
ENST00000448232	NM_001410864
ENST00000448232	CCDS93674
ENST00000511846	NR_126473
ENST00000323319	NM_001111319
ENST00000323319	CCDS43286
ENST00000541814	NM_001185149
ENST00000541814	CCDS54824
ENST00000302350	NM_001317343
ENST00000302350	CCDS82979
ENST00000504169	NM_017632
ENST00000504169	CCDS34110
ENST00000302327	NM_001564
ENST00000302327	CCDS3833
ENST00000326397	NM_152682
ENST00000326397	CCDS34111
ENST00000512740	NM_001307922
ENST00000512740	CCDS77986
ENST00000357207	NM_199053
ENST00000357207	CCDS47166
ENST00000334690	NM_021942
ENST00000334690	CCDS34112
ENST00000308497	NM_020225
ENST00000308497	CCDS47167
ENST00000296741	NM_153343
ENST00000296741	CCDS3834
ENST00000696840	NM_002199
ENST00000696840	CCDS3835
ENST00000696841	NM_002199
ENST00000696841	CCDS3835
ENST00000696843	NM_002199
ENST00000696843	CCDS3835
ENST00000696845	NM_002199
ENST00000696845	CCDS3835
ENST00000393593	NM_002199
ENST00000393593	CCDS3835
ENST00000696846	NM_002199
ENST00000696846	CCDS3835
ENST00000510814	NM_002199
ENST00000510814	CCDS3835
ENST00000696849	NM_002199
ENST00000696849	CCDS3835
ENST00000696851	NM_002199
ENST00000696851	CCDS3835
ENST00000504340	NM_002199
ENST00000504340	CCDS3835
ENST00000605834	NR_186573
ENST00000393585	NM_001354782
ENST00000393585	CCDS87283
ENST00000308394	NM_004346
ENST00000308394	CCDS3836
ENST00000523916	NM_032991
ENST00000523916	CCDS3836
ENST00000700100	NM_004346
ENST00000700100	CCDS3836
ENST00000700101	NM_032991
ENST00000700101	CCDS3836
ENST00000517513	NM_001354782
ENST00000517513	CCDS87283
ENST00000393588	NM_001354781
ENST00000393588	CCDS87283
ENST00000515774	NM_001300767
ENST00000515774	CCDS75212
ENST00000503752	NM_001345895
ENST00000503752	NM_152683
ENST00000503752	CCDS3837
ENST00000512834	NM_001300768
ENST00000512834	CCDS75211
ENST00000314970	NM_152683
ENST00000314970	CCDS3837
ENST00000281453	NM_024629
ENST00000281453	CCDS3838
ENST00000281455	NM_001995
ENST00000281455	CCDS3839
ENST00000706366	NM_001381884
ENST00000706366	CCDS68826
ENST00000515030	NM_001286708
ENST00000515030	NM_001995
ENST00000515030	NM_001381878
ENST00000515030	NM_001381877
ENST00000515030	NM_001381880
ENST00000515030	NM_001381879
ENST00000515030	NM_001381881
ENST00000515030	NM_001381883
ENST00000515030	NM_001381882
ENST00000515030	CCDS3839
ENST00000706367	NM_001381879
ENST00000706367	CCDS3839
ENST00000706368	NM_001381886
ENST00000706368	CCDS68826
ENST00000706369	NM_001381878
ENST00000706369	CCDS3839
ENST00000507295	NM_001286711
ENST00000507295	CCDS68825
ENST00000504342	NM_001286708
ENST00000504342	CCDS3839
ENST00000513317	NM_001286710
ENST00000513317	CCDS68826
ENST00000506741	NR_003542
ENST00000581853	NR_037510
ENST00000580836	NR_039660
ENST00000515777	NM_001300781
ENST00000515777	CCDS75214
ENST00000505610	NM_001300782
ENST00000505610	CCDS75215
ENST00000281456	NM_001151
ENST00000281456	CCDS34114
ENST00000458385	NM_020827
ENST00000458385	CCDS47168
ENST00000514798	NM_001292033
ENST00000514798	CCDS75216
ENST00000504273	NM_001317781
ENST00000504273	CCDS34116
ENST00000652585	NM_001378034
ENST00000652585	CCDS93675
ENST00000264694	NM_001317781
ENST00000264694	CCDS34116
ENST00000505916	NM_001377440
ENST00000505916	CCDS3840
ENST00000328559	NM_018409
ENST00000328559	CCDS3840
ENST00000335174	NM_181726
ENST00000335174	CCDS3841
ENST00000264689	NM_018359
ENST00000264689	CCDS3842
ENST00000378850	NM_001114357
ENST00000378850	CCDS47169
ENST00000393540	NM_001145411
ENST00000393540	CCDS47170
ENST00000307588	NM_152775
ENST00000307588	CCDS3843
ENST00000284767	NM_014476
ENST00000284767	CCDS3844
ENST00000284771	NM_001114107
ENST00000284771	CCDS47172
ENST00000284770	NM_001257963
ENST00000284770	CCDS75218
ENST00000620787	NM_001257962
ENST00000620787	CCDS75219
ENST00000487836	NM_001145674
ENST00000487836	CCDS47176
ENST00000284776	NM_021069
ENST00000284776	CCDS3845
ENST00000695409	NM_001395207
ENST00000695409	CCDS93679
ENST00000437304	NM_001145673
ENST00000437304	CCDS47175
ENST00000319471	NM_001145671
ENST00000319471	CCDS47174
ENST00000449407	NM_001145670
ENST00000449407	CCDS47173
ENST00000451974	NM_001145672
ENST00000451974	CCDS54825
ENST00000355634	NM_001270771
ENST00000355634	CCDS59482
ENST00000393528	NM_003603
ENST00000393528	CCDS43289
ENST00000490562	NM_001145675
ENST00000490562	CCDS93677
ENST00000695410	NM_001394254
ENST00000695410	CCDS93678
ENST00000296795	NM_003265
ENST00000296795	CCDS3846
ENST00000503432	NM_001006655
ENST00000503432	CCDS34117
ENST00000389354	NM_001367768
ENST00000389354	CCDS93680
ENST00000706927	NM_001395294
ENST00000227065	NM_001006655
ENST00000227065	CCDS34117
ENST00000502970	NM_001006655
